score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
14.0479,928,14.00,14.00,0.4964,3,52,vs/workbench/contrib/remote/browser/remote.ts
13.9577,243,56.00,56.00,0.5611,3,6,vs/workbench/services/languageDetection/browser/languageDetectionWebWorker.ts
13.9555,908,14.50,14.50,0.5422,9,15,vs/platform/mcp/common/mcpGalleryService.ts
13.9461,1082,11.00,11.00,0.5634,9,99,vs/editor/standalone/browser/standaloneServices.ts
13.8662,683,19.50,19.50,0.4892,3,18,vs/workbench/contrib/mcp/common/mcpServerRequestHandler.ts
13.8178,1977,6.45,6.45,0.6632,15,16,vs/workbench/contrib/tasks/common/taskConfiguration.ts
13.7393,784,17.00,17.00,0.5949,2,14,vs/workbench/contrib/terminal/common/terminalConfiguration.ts
13.7213,464,28.00,28.00,0.6430,8,16,vs/editor/common/model/textModelTokens.ts
13.4912,299,43.00,43.00,0.4831,5,17,vs/workbench/contrib/notebook/browser/contrib/cellStatusBar/executionStatusBarItemController.ts
13.4063,1133,10.78,10.78,0.5998,15,23,vs/workbench/contrib/chat/common/promptSyntax/languageProviders/promptValidator.ts
13.3693,523,24.75,24.75,1.0000,1,25,vs/code/node/cli.ts
13.3329,550,22.50,22.50,0.5882,15,7,vs/workbench/contrib/chat/common/promptSyntax/promptFileParser.ts
13.2809,1461,8.07,8.07,0.4312,15,40,vs/workbench/browser/parts/editor/editorCommands.ts
13.1880,913,13.36,13.36,0.6118,10,26,vs/workbench/contrib/chat/common/plugins/pluginMarketplaceService.ts
13.1202,982,12.69,12.69,0.4145,3,24,vs/workbench/api/common/extHostSCM.ts
12.9917,328,38.00,38.00,0.6092,5,12,vs/workbench/contrib/chat/common/tools/builtinTools/manageTodoListTool.ts
12.9475,334,37.00,37.00,0.6819,3,24,vs/workbench/services/extensions/browser/extensionUrlHandler.ts
12.9396,317,39.00,39.00,0.6936,7,10,vs/workbench/services/editor/common/editorService.ts
12.8034,415,29.50,29.50,0.5565,3,20,vs/workbench/services/authentication/browser/authenticationService.ts
12.5812,521,23.00,23.00,0.3273,2,22,vs/workbench/services/progress/browser/progressService.ts
12.5766,961,12.00,12.00,0.3617,3,49,vs/workbench/contrib/testing/browser/codeCoverageDecorations.ts
